Front,Back,Tags
What's the overall architecture and stack?,"A React + TypeScript single-page app (Tailwind, Zustand for state, recharts) talking to an ASP.NET Core Web API over REST/JSON. The backend is layered: Controllers (HTTP) to Services behind interfaces (business logic) to EF Core AppDbContext (data). DTOs cross the API boundary so entities are never exposed directly. Database is PostgreSQL.",architecture;stack
How does the spaced-repetition scheduling work?,"It implements FSRS (Free Spaced Repetition Scheduler) as a state machine: each card goes New to Learning to Review, with a Relearning path on lapses. Each rating (Again/Hard/Good/Easy) updates the card's stability and difficulty, and the next review date is computed from retrievability (predicted recall probability). Learning steps are 1 min to 10 min to graduate at 1 day.",fsrs;algorithm
How is authentication handled?,"JWT-based. Short-lived access tokens (15 min) plus long-lived refresh tokens (30 days) stored in a RefreshTokens table with a RevokedAt column for logout/revocation. Email verification is non-blocking: users get full access immediately and see a dismissible banner.",auth;jwt
How does the frontend keep sessions alive without logging users out constantly?,"An Axios response interceptor catches 401s, calls the refresh endpoint, and retries the original request. It uses single-flight: concurrent 401s queue behind one in-progress refresh instead of firing many. If refresh fails, it clears tokens and redirects to login.",auth;frontend
How does the same code run on LocalDB locally and Postgres in production?,"EF Core abstracts the provider, so swapping is just a connection string (and UseNpgsql vs UseSqlServer). The app standardizes on Postgres everywhere (Neon in prod). Migrations apply automatically on startup via db.Database.Migrate(), so a deploy provisions the schema with no manual step.",ef-core;database
What are the key data-model decisions?,"Hard cascade deletes and no soft deletes anywhere (deleting a user or deck removes dependent rows via DB-level cascades). No pagination on user-owned lists (personal scale); offset pagination only on public deck search. Because the app is Postgres-only, cascades are real DB cascades, which required a migration to set up.",database;design
What's the lifecycle of a study session?,"A session is created at start and the due queue is snapshotted then. Each rating writes a ReviewLog at review time (not at session end) and updates the card's memory state. Abandoned sessions (no EndedAt) are auto-closed when the next one starts. Free Study mode logs only the session for streaks/analytics: no review logs, no rescheduling.",study;sessions
How is it deployed and what's the release process?,"Frontend on Vercel, API on Render (Docker container), database on Neon, all free tier at about $0. Both Vercel and Render auto-deploy on push to main: frontend-only changes rebuild Vercel; backend changes rebuild Render. Trade-off: Render's free tier sleeps after ~15 min, so the first request is a cold start.",deployment;devops
How does the dashboard compute its stats efficiently?,"A single GET /api/analytics/overview endpoint returns the whole payload in one round-trip (decks, cards due, streaks, 7-day forecast, deck usage, activity, goal progress) instead of many requests. Cards due counts cards whose next-review time is at or before now, matching exactly what the study runner serves, so the count reaches 0 when everything available is cleared.",analytics;api
How are study Goals designed?,"A lite model grounded in behavioral research: a daily card target plus a streak, where the streak uses loss aversion (Duolingo-style) to drive return visits. It reuses the existing Goal schema so it needed no migration, and it's an additive subset of a richer target-by-deadline with daily-budget model that can be layered on later.",goals;product
